Baudrate,9600
Anzahl_der_geraete,1
Anzahl_der_Boards,8
Widerstaende_pro_Board,2
Gefundene_Geraete
/dev/ttyUSB0,Keithley: MODEL 2700,7700,7700
Zeit,Board Nr,Widerstand Nr,Port,Kannal,Temperatur True/False,Sensor,Gemessener Widerstand,Temperaturwert
1880.96,3,2,/dev/ttyUSB0,106,True,PT100,125.83,66.75
1882.47,4,1,/dev/ttyUSB0,107,True,PT100,125.36,65.52
1884.04,4,2,/dev/ttyUSB0,108,False,False,3.07,False
1885.55,5,1,/dev/ttyUSB0,109,True,PT100,125.58,66.1
1887.05,5,2,/dev/ttyUSB0,110,False,False,1.51,False
1888.55,6,1,/dev/ttyUSB0,201,True,PT100,125.56,66.04
1890.06,6,2,/dev/ttyUSB0,202,False,False,2.21,False
1891.56,7,1,/dev/ttyUSB0,203,True,PT100,125.95,67.06
1893.07,7,2,/dev/ttyUSB0,204,False,False,1.67,False
1894.57,8,1,/dev/ttyUSB0,205,True,PT100,126.14,67.56
1896.07,8,2,/dev/ttyUSB0,206,False,False,2.53,False
2017.61,1,1,/dev/ttyUSB0,101,True,PT100,127.9,72.16
2019.11,1,2,/dev/ttyUSB0,102,False,False,1.74,False
2020.61,2,1,/dev/ttyUSB0,103,True,PT100,127.5,71.11
2022.11,2,2,/dev/ttyUSB0,104,False,False,2.85,False
2023.62,3,1,/dev/ttyUSB0,105,False,False,1.78,False
2025.15,3,2,/dev/ttyUSB0,106,True,PT100,127.37,70.77
2026.66,4,1,/dev/ttyUSB0,107,True,PT100,127.18,70.27
2028.16,4,2,/dev/ttyUSB0,108,False,False,3.08,False
2029.67,5,1,/dev/ttyUSB0,109,True,PT100,127.25,70.46
2031.18,5,2,/dev/ttyUSB0,110,False,False,1.52,False
2032.68,6,1,/dev/ttyUSB0,201,True,PT100,127.33,70.67
2034.19,6,2,/dev/ttyUSB0,202,False,False,2.23,False
2035.7,7,1,/dev/ttyUSB0,203,True,PT100,127.58,71.32
2037.2,7,2,/dev/ttyUSB0,204,False,False,1.69,False
2038.71,8,1,/dev/ttyUSB0,205,True,PT100,127.8,71.89
2040.21,8,2,/dev/ttyUSB0,206,False,False,2.55,False
2161.74,1,1,/dev/ttyUSB0,101,True,PT100,128.19,72.91
2163.24,1,2,/dev/ttyUSB0,102,False,False,1.74,False
2164.75,2,1,/dev/ttyUSB0,103,True,PT100,127.95,72.29
2166.25,2,2,/dev/ttyUSB0,104,False,False,2.85,False
2167.75,3,1,/dev/ttyUSB0,105,False,False,1.78,False
2169.26,3,2,/dev/ttyUSB0,106,True,PT100,127.78,71.84
2170.84,4,1,/dev/ttyUSB0,107,True,PT100,127.87,72.08
2172.35,4,2,/dev/ttyUSB0,108,False,False,3.09,False
2173.85,5,1,/dev/ttyUSB0,109,True,PT100,127.79,71.87
2175.35,5,2,/dev/ttyUSB0,110,False,False,1.53,False
2176.86,6,1,/dev/ttyUSB0,201,True,PT100,127.89,72.13
2178.36,6,2,/dev/ttyUSB0,202,False,False,2.23,False
2179.87,7,1,/dev/ttyUSB0,203,True,PT100,127.97,72.34
2181.37,7,2,/dev/ttyUSB0,204,False,False,1.69,False
2182.88,8,1,/dev/ttyUSB0,205,True,PT100,128.16,72.84
2184.38,8,2,/dev/ttyUSB0,206,False,False,2.55,False
2305.91,1,1,/dev/ttyUSB0,101,True,PT100,127.99,72.39
2307.42,1,2,/dev/ttyUSB0,102,False,False,1.74,False
2308.92,2,1,/dev/ttyUSB0,103,True,PT100,127.92,72.21
2310.43,2,2,/dev/ttyUSB0,104,False,False,2.85,False
2311.93,3,1,/dev/ttyUSB0,105,False,False,1.78,False
2313.43,3,2,/dev/ttyUSB0,106,True,PT100,127.77,71.82
2314.94,4,1,/dev/ttyUSB0,107,True,PT100,127.98,72.37
2316.44,4,2,/dev/ttyUSB0,108,False,False,3.09,False
2317.95,5,1,/dev/ttyUSB0,109,True,PT100,127.82,71.95
2319.45,5,2,/dev/ttyUSB0,110,False,False,1.53,False
2320.95,6,1,/dev/ttyUSB0,201,True,PT100,127.9,72.16
2322.46,6,2,/dev/ttyUSB0,202,False,False,2.23,False
2323.96,7,1,/dev/ttyUSB0,203,True,PT100,127.89,72.13
2325.47,7,2,/dev/ttyUSB0,204,False,False,1.69,False
2326.97,8,1,/dev/ttyUSB0,205,True,PT100,128.01,72.44
2328.47,8,2,/dev/ttyUSB0,206,False,False,2.55,False
2450.0,1,1,/dev/ttyUSB0,101,True,PT100,127.6,71.37
2451.51,1,2,/dev/ttyUSB0,102,False,False,1.74,False
2453.01,2,1,/dev/ttyUSB0,103,True,PT100,127.62,71.42
2454.52,2,2,/dev/ttyUSB0,104,False,False,2.85,False
2456.02,3,1,/dev/ttyUSB0,105,False,False,1.78,False
2457.52,3,2,/dev/ttyUSB0,106,True,PT100,127.48,71.06
2459.03,4,1,/dev/ttyUSB0,107,True,PT100,127.73,71.71
2460.53,4,2,/dev/ttyUSB0,108,False,False,3.09,False
2462.04,5,1,/dev/ttyUSB0,109,True,PT100,127.55,71.24
2463.54,5,2,/dev/ttyUSB0,110,False,False,1.53,False
2465.04,6,1,/dev/ttyUSB0,201,True,PT100,127.62,71.42
2466.55,6,2,/dev/ttyUSB0,202,False,False,2.23,False
2468.05,7,1,/dev/ttyUSB0,203,True,PT100,127.56,71.27
2469.55,7,2,/dev/ttyUSB0,204,False,False,1.68,False
2471.06,8,1,/dev/ttyUSB0,205,True,PT100,127.64,71.48
2472.56,8,2,/dev/ttyUSB0,206,False,False,2.54,False
2594.09,1,1,/dev/ttyUSB0,101,True,PT100,127.14,70.17
2595.59,1,2,/dev/ttyUSB0,102,False,False,1.73,False
2597.1,2,1,/dev/ttyUSB0,103,True,PT100,127.19,70.3
2598.6,2,2,/dev/ttyUSB0,104,False,False,2.84,False
2600.11,3,1,/dev/ttyUSB0,105,False,False,1.78,False
2601.61,3,2,/dev/ttyUSB0,106,True,PT100,127.07,69.99
2603.11,4,1,/dev/ttyUSB0,107,True,PT100,127.33,70.67
2604.62,4,2,/dev/ttyUSB0,108,False,False,3.08,False
2606.12,5,1,/dev/ttyUSB0,109,True,PT100,127.14,70.17
2607.63,5,2,/dev/ttyUSB0,110,False,False,1.52,False
2609.13,6,1,/dev/ttyUSB0,201,True,PT100,127.19,70.3
2610.63,6,2,/dev/ttyUSB0,202,False,False,2.23,False
2612.14,7,1,/dev/ttyUSB0,203,True,PT100,127.11,70.09
2613.64,7,2,/dev/ttyUSB0,204,False,False,1.68,False
2615.15,8,1,/dev/ttyUSB0,205,True,PT100,127.16,70.22
2616.66,8,2,/dev/ttyUSB0,206,False,False,2.54,False
2738.19,1,1,/dev/ttyUSB0,101,True,PT100,126.64,68.86
2739.69,1,2,/dev/ttyUSB0,102,False,False,1.73,False
2741.19,2,1,/dev/ttyUSB0,103,True,PT100,126.7,69.02
2742.7,2,2,/dev/ttyUSB0,104,False,False,2.84,False
2744.2,3,1,/dev/ttyUSB0,105,False,False,1.78,False
2745.71,3,2,/dev/ttyUSB0,106,True,PT100,126.59,68.73
2747.21,4,1,/dev/ttyUSB0,107,True,PT100,126.84,69.39
2748.71,4,2,/dev/ttyUSB0,108,False,False,3.08,False
2750.22,5,1,/dev/ttyUSB0,109,True,PT100,126.66,68.92
2751.72,5,2,/dev/ttyUSB0,110,False,False,1.52,False
2753.23,6,1,/dev/ttyUSB0,201,True,PT100,126.71,69.05
2754.73,6,2,/dev/ttyUSB0,202,False,False,2.22,False
2756.23,7,1,/dev/ttyUSB0,203,True,PT100,126.62,68.81
2757.74,7,2,/dev/ttyUSB0,204,False,False,1.68,False
2759.24,8,1,/dev/ttyUSB0,205,True,PT100,126.66,68.92
2760.75,8,2,/dev/ttyUSB0,206,False,False,2.54,False
2882.27,1,1,/dev/ttyUSB0,101,True,PT100,126.45,68.37
2883.78,1,2,/dev/ttyUSB0,102,False,False,1.73,False
2885.28,2,1,/dev/ttyUSB0,103,True,PT100,126.49,68.47
2886.79,2,2,/dev/ttyUSB0,104,False,False,2.84,False
2888.3,3,1,/dev/ttyUSB0,105,False,False,1.77,False
2889.8,3,2,/dev/ttyUSB0,106,True,PT100,126.45,68.37
2891.31,4,1,/dev/ttyUSB0,107,True,PT100,126.61,68.78
2892.81,4,2,/dev/ttyUSB0,108,False,False,3.08,False
